SNO,Module,With Existing Model,Domain,Token Consumption,Cost per Tokens,Execution Time,Observations,No of Attacks
1,Misuse Asserter,OpenAI GPT-4.1,TestSuit1,models integrated,models integrated,models integrated,Advanced misuse pattern detection,models integrated
2,Privacy & Security,OpenAI GPT-4o-mini,Banking,33409,$0.005616,~2500s (41.7 min),Enhanced token aggregation - Privacy/Security attack resistance testing,50
3,Bias,OpenAI GPT-4o-mini,Banking,1271843,$0.212268,1796.8s (29.9 min),Enhanced token aggregation system - Comprehensive agentic bias testing,14
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
SNO,Module,With New Models,Domain,Token Consumption,Cost per Tokens,Execution Time,Observations,No of Attacks
1,Misuse Asserter,OpenAI o3,TestSuit1,models integrated,models integrated,models integrated,Next-gen misuse assertion capabilities,models integrated
2,Privacy & Security,OpenAI GPT-4.1-mini,Banking,33104,$0.014798,~2500s (41.7 min),Enhanced token aggregation - NEW model privacy/security testing shows WORSE vulnerability,50
3,Bias,OpenAI GPT-4.1-mini,Banking,1338535,$0.592275,1889.9s (31.5 min),Enhanced token aggregation system - NEW model comprehensive testing,14
